"ACCREDAGENCY","LOCALE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","HCM2","CONTROL"
"Higher.Learning.Commission","X42","X9","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X13","X22","X11","X12","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X18","X5","X12","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Accrediting.Commission.for.Acupuncture.and.Oriental.Medicine","X11","X26","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Western.Association.of.Schools.and.Colleges.Accrediting.Commission.for.Community.and.Junior.Colleges","X21","X2","X1","X3","X0","X0","X0","X0","X1","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Accrediting.Commission.for.Community.and.Junior.Colleges","X12","X2","X1","X4","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Commission.on.Accrediting.of.the.Association.of.Theological.Schools","X12","X24","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X30","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Accrediting.Bureau.of.Health.Education.Schools","X11","X10","X4","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X30","X0","X6","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Western.Association.of.Schools.and.Colleges.Accrediting.Commission.for.Community.and.Junior.Colleges","X21","X4","X1","X5","X0","X0","X0","X0","X1","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Accrediting.Commission.for.Community.and.Junior.Colleges","X21","X14","X5","X12","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X12","X30","X13","X9","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X21","X16","X13","X14","X0","X0","X0","X0","X1","X1","X0","X0","X0","X0","X2"
